F_PU10,F_PU11,L_T6,L_T7,P_J307,P_J317,S_PU10,S_PU11,ATTACK_FLAG
30.72,0.0,5.45,2.58,19.89,67.54,1.0,0.0,0
31.54,0.0,5.5,2.97,26.12,71.0,1.0,0.0,0
31.02,0.0,5.5,3.38,26.3,72.93,1.0,0.0,0
31.47,0.0,5.5,4.07,25.8,70.93,1.0,0.0,0
29.76,0.0,5.5,4.29,17.9,68.68,1.0,0.0,0
29.71,0.0,5.5,4.15,17.77,68.68,1.0,0.0,0
29.94,0.0,5.5,4.05,17.29,67.49,1.0,0.0,0
29.48,0.0,5.5,3.69,19.21,70.87,1.0,0.0,0
29.55,0.0,5.5,4.13,19.16,70.6,1.0,0.0,0
28.67,0.0,5.5,4.45,19.89,74.03,1.0,0.0,0
0.0,0.0,5.36,4.23,25.72,60.55,0.0,0.0,0
0.0,0.0,5.11,3.22,29.49,59.81,0.0,0.0,0
31.6,0.0,5.01,2.75,26.91,71.58,1.0,0.0,0
31.5,0.0,5.39,3.71,26.79,71.81,1.0,0.0,0
0.0,0.0,5.5,4.84,29.93,59.7,0.0,0.0,0
0.0,0.0,5.18,3.39,30.14,58.68,0.0,0.0,0
32.61,0.0,5.07,2.72,26.64,67.73,1.0,0.0,0
30.63,0.0,5.21,2.63,20.0,67.94,1.0,0.0,0
30.53,0.0,5.43,2.9,20.07,68.33,1.0,0.0,0
30.88,0.0,5.5,3.39,20.14,67.27,1.0,0.0,0
30.4,0.0,5.5,3.03,20.14,68.85,1.0,0.0,0
29.61,0.0,5.5,3.15,20.15,71.39,1.0,0.0,0
29.93,0.0,5.5,3.75,20.25,70.46,1.0,0.0,0
31.35,0.0,5.5,4.12,27.11,72.62,1.0,0.0,0
31.16,0.0,5.5,4.63,27.15,73.34,1.0,0.0,0
0.0,0.0,5.24,3.6,30.39,56.28,0.0,0.0,0
32.83,0.0,4.98,2.24,28.97,69.28,1.0,0.0,0
30.73,0.0,5.23,2.63,21.81,69.43,1.0,0.0,0
30.92,0.0,5.5,3.28,21.23,68.23,1.0,0.0,0
31.18,0.0,5.5,3.16,21.55,67.64,1.0,0.0,0
31.46,0.0,5.5,2.91,22.17,67.31,1.0,0.0,0
31.13,0.0,5.5,2.61,22.43,68.72,1.0,0.0,0
30.25,0.0,5.5,2.72,21.98,71.18,1.0,0.0,0
31.16,0.0,5.5,3.33,28.65,74.84,1.0,0.0,0
30.34,0.0,5.5,4.28,28.86,77.77,1.0,0.0,0
0.0,0.0,5.36,4.13,32.68,60.5,0.0,0.0,0
0.0,0.0,5.11,3.13,32.59,59.31,0.0,0.0,0
32.5,0.0,5.1,2.88,29.08,70.58,1.0,0.0,0
32.52,0.0,5.43,3.55,29.11,70.53,1.0,0.0,0
30.21,0.0,5.5,4.3,21.75,71.07,1.0,0.0,0
30.76,0.0,5.5,4.61,21.54,69.06,1.0,0.0,0
30.38,0.0,5.5,4.39,21.96,70.72,1.0,0.0,0
30.47,0.0,5.5,4.61,21.71,70.17,1.0,0.0,0
30.18,0.0,5.5,4.66,21.44,70.88,1.0,0.0,0
0.0,0.0,5.4,4.34,28.03,55.41,0.0,0.0,0
31.41,0.0,5.02,2.48,21.56,66.89,1.0,0.0,0
32.65,0.0,5.16,2.4,28.21,69.16,1.0,0.0,0
32.77,0.0,5.43,2.83,28.57,69.09,1.0,0.0,0
31.86,0.0,5.5,3.35,30.69,74.45,1.0,0.0,0
32.34,0.0,5.5,4.2,30.86,72.94,1.0,0.0,0
30.68,0.0,5.5,4.55,22.12,69.91,1.0,0.0,0
30.65,0.0,5.5,4.54,21.79,69.66,1.0,0.0,0
30.8,0.0,5.5,4.48,21.74,69.11,1.0,0.0,0
30.75,0.0,5.5,4.3,21.65,69.21,1.0,0.0,0
30.59,0.0,5.5,4.18,21.5,69.57,1.0,0.0,0
30.12,0.0,5.5,4.19,22.24,71.86,1.0,0.0,0
31.16,0.0,5.5,4.68,26.73,72.9,1.0,0.0,0
0.0,0.0,5.21,3.45,30.25,58.65,0.0,0.0,0
31.73,0.0,5.05,2.6,27.34,71.55,1.0,0.0,0
31.4,0.0,5.43,3.57,27.3,72.65,1.0,0.0,0
0.0,0.0,5.5,4.95,30.18,61.23,0.0,0.0,0
0.0,0.0,5.27,3.91,26.16,59.69,0.0,0.0,0
0.0,0.0,4.98,2.73,25.4,58.68,0.0,0.0,0
30.53,0.0,5.17,3.05,18.5,66.78,1.0,0.0,0
30.5,0.0,5.28,2.85,18.41,66.78,1.0,0.0,0
30.26,0.0,5.39,2.7,18.03,67.19,1.0,0.0,0
30.09,0.0,5.5,2.81,19.39,69.1,1.0,0.0,0
31.92,0.0,5.5,3.1,25.76,69.31,1.0,0.0,0
31.71,0.0,5.5,3.15,26.14,70.44,1.0,0.0,0
31.56,0.0,5.5,3.43,26.01,70.81,1.0,0.0,0
32.07,0.0,5.5,3.73,25.93,68.96,1.0,0.0,0
29.53,0.0,5.5,3.48,19.47,70.96,1.0,0.0,0
29.44,0.0,5.5,3.97,19.77,71.53,1.0,0.0,0
29.77,0.0,5.5,4.48,19.62,70.37,1.0,0.0,0
29.58,0.0,5.5,4.67,19.66,71.01,1.0,0.0,0
0.0,0.0,5.31,3.89,25.25,55.11,0.0,0.0,0
30.92,0.0,4.98,2.24,18.72,65.69,1.0,0.0,0
30.87,0.0,4.93,1.72,18.55,65.71,1.0,0.0,0
32.55,0.0,4.97,1.42,25.53,66.85,1.0,0.0,0
32.09,0.0,5.1,1.44,25.95,68.91,1.0,0.0,0
31.9,0.0,5.37,2.04,26.34,69.95,1.0,0.0,0
29.28,0.0,5.5,2.92,20.2,72.48,1.0,0.0,0
28.83,0.0,5.5,3.75,20.73,74.37,1.0,0.0,0
28.3,0.0,5.5,4.75,20.96,76.21,1.0,0.0,0
0.0,0.0,5.32,4.16,26.44,59.69,0.0,0.0,0
0.0,0.0,5.03,2.91,33.59,57.76,0.0,0.0,0
32.85,0.0,5.01,2.49,29.75,69.96,1.0,0.0,0
33.01,0.0,5.32,3.08,29.65,69.29,1.0,0.0,0
31.87,0.0,5.5,3.44,29.59,73.3,1.0,0.0,0
30.75,0.0,5.5,4.07,21.97,69.52,1.0,0.0,0
30.77,0.0,5.5,4.08,22.74,70.21,1.0,0.0,0
30.94,0.0,5.5,4.22,22.35,69.26,1.0,0.0,0
30.46,0.0,5.5,4.12,23.15,71.67,1.0,0.0,0
29.61,0.0,5.5,4.54,21.85,73.1,1.0,0.0,0
0.0,0.0,5.3,3.86,28.17,57.9,0.0,0.0,0
32.66,0.0,5.03,2.57,28.63,69.55,1.0,0.0,0
32.82,0.0,5.32,3.06,28.52,68.84,1.0,0.0,0
31.85,0.0,5.5,3.3,28.73,72.54,1.0,0.0,0
32.13,0.0,5.5,3.88,28.59,71.39,1.0,0.0,0
30.48,0.0,5.5,4.07,21.32,69.75,1.0,0.0,0
31.14,0.0,5.5,4.15,20.5,66.75,1.0,0.0,0
31.1,0.0,5.47,3.45,20.27,66.64,1.0,0.0,0
31.0,0.0,5.48,2.94,20.33,67.04,1.0,0.0,0
29.89,0.0,5.5,2.89,21.44,71.79,1.0,0.0,0
29.12,0.0,5.5,3.57,21.94,74.71,1.0,0.0,0
30.3,0.0,5.5,4.63,28.29,77.31,1.0,0.0,0
0.0,0.0,5.27,3.78,31.99,60.37,0.0,0.0,0
0.0,0.0,5.02,2.84,32.23,59.9,0.0,0.0,1
31.96,0.0,5.11,3.03,29.27,72.68,1.0,0.0,1
31.03,0.0,5.5,4.19,32.18,78.78,1.0,0.0,1
0.0,0.0,5.37,4.19,33.12,60.16,0.0,0.0,1
0.0,0.0,5.1,3.07,29.11,57.4,0.0,0.0,1
31.46,0.0,5.13,2.75,22.52,67.68,1.0,0.0,1
31.49,0.0,5.31,2.84,22.37,67.41,1.0,0.0,1
31.35,0.0,5.46,2.79,21.98,67.49,1.0,0.0,0
31.15,0.0,5.5,2.91,21.97,68.16,1.0,0.0,0
30.86,0.0,5.5,2.83,22.09,69.28,1.0,0.0,0
32.38,0.0,5.5,3.05,28.93,70.85,1.0,0.0,0
32.72,0.0,5.5,3.35,28.79,69.5,1.0,0.0,0
31.92,0.0,5.5,3.28,25.91,69.44,1.0,0.0,0
30.08,0.0,5.5,3.31,18.11,67.85,1.0,0.0,0
29.92,0.0,5.5,3.17,17.53,67.78,1.0,0.0,0
29.95,0.0,5.5,3.07,18.08,68.26,1.0,0.0,0
30.39,0.0,5.5,3.09,17.46,66.2,1.0,0.0,0
30.2,0.0,5.45,2.53,17.42,66.78,1.0,0.0,0
29.26,0.0,5.5,2.56,17.75,70.08,1.0,0.0,0
29.8,0.0,5.5,3.1,19.22,69.87,1.0,0.0,0
29.94,0.0,5.5,3.45,18.93,69.12,1.0,0.0,0
28.87,0.0,5.5,3.58,19.62,73.16,1.0,0.0,0
30.37,0.0,5.5,4.5,26.01,74.8,1.0,0.0,0
0.0,0.0,5.35,4.19,29.4,60.62,0.0,0.0,0
0.0,0.0,5.1,3.22,30.2,59.76,0.0,0.0,0
31.5,0.0,5.01,2.76,26.78,71.78,1.0,0.0,0
31.63,0.0,5.4,3.76,26.83,71.39,1.0,0.0,0
29.04,0.0,5.5,4.75,20.44,73.47,1.0,0.0,0
0.0,0.0,5.2,3.44,26.54,57.21,0.0,0.0,0
30.71,0.0,4.97,2.26,19.82,67.49,1.0,0.0,0
30.71,0.0,5.17,2.49,19.88,67.58,1.0,0.0,0
30.59,0.0,5.37,2.69,20.1,68.17,1.0,0.0,0
29.34,0.0,5.5,3.1,20.33,72.43,1.0,0.0,0
31.25,0.0,5.5,3.91,26.89,72.76,1.0,0.0,0
31.73,0.0,5.5,4.47,26.74,70.95,1.0,0.0,0
31.31,0.0,5.5,4.6,26.92,72.59,1.0,0.0,0
0.0,0.0,5.3,3.82,30.3,56.38,0.0,0.0,0
31.1,0.0,5.02,2.41,20.27,66.65,1.0,0.0,0
31.22,0.0,5.14,2.29,21.48,67.46,1.0,0.0,0
31.05,0.0,5.33,2.45,21.38,67.91,1.0,0.0,0
30.87,0.0,5.5,2.74,21.38,68.53,1.0,0.0,0
31.49,0.0,5.5,2.81,21.29,66.34,1.0,0.0,0
31.33,0.0,5.44,2.23,21.64,67.25,1.0,0.0,0
30.97,0.0,5.5,2.38,22.05,68.88,1.0,0.0,0
32.64,0.0,5.5,2.71,30.71,71.7,1.0,0.0,0
32.22,0.0,5.5,3.16,28.53,71.02,1.0,0.0,0
31.09,0.0,5.5,3.49,28.73,75.16,1.0,0.0,0
28.91,0.0,5.5,4.46,22.58,75.98,1.0,0.0,0
0.0,0.0,5.38,4.4,28.19,60.24,0.0,0.0,0
0.0,0.0,5.11,3.25,28.64,60.07,0.0,0.0,0
31.07,0.0,4.94,2.64,22.62,69.1,1.0,0.0,0
32.16,0.0,5.25,3.22,28.77,71.47,1.0,0.0,0
30.16,0.0,5.5,4.15,29.19,78.66,1.0,0.0,0
0.0,0.0,5.38,4.26,31.85,55.16,0.0,0.0,0
32.96,0.0,4.91,2.07,28.85,68.8,1.0,0.0,0
31.34,0.0,5.13,2.37,21.93,67.49,1.0,0.0,0
30.9,0.0,5.31,2.5,21.56,68.61,1.0,0.0,0
29.85,0.0,5.5,3.01,22.26,72.72,1.0,0.0,0
30.34,0.0,5.5,3.83,23.1,71.99,1.0,0.0,0
32.23,0.0,5.5,4.36,30.36,72.82,1.0,0.0,0
31.74,0.0,5.5,4.78,29.07,73.27,1.0,0.0,0
0.0,0.0,5.21,3.51,32.79,56.34,0.0,0.0,0
33.04,0.0,5.09,2.61,29.25,68.78,1.0,0.0,0
31.42,0.0,5.31,2.82,22.25,67.54,1.0,0.0,0
31.33,0.0,5.47,2.84,21.87,67.45,1.0,0.0,0
31.42,0.0,5.5,2.94,21.14,66.41,1.0,0.0,0
30.73,0.0,5.44,2.36,18.81,66.43,1.0,0.0,0
30.28,0.0,5.5,2.16,18.42,67.51,1.0,0.0,0
29.52,0.0,5.5,2.19,19.45,70.97,1.0,0.0,0
29.68,0.0,5.5,2.88,18.93,69.96,1.0,0.0,0
30.69,0.0,5.5,3.39,26.12,73.86,1.0,0.0,0
29.82,0.0,5.5,4.24,26.5,77.08,1.0,0.0,0
0.0,0.0,5.38,4.29,29.33,60.13,0.0,0.0,0
0.0,0.0,5.11,3.13,29.35,58.08,0.0,0.0,0
31.77,0.0,5.08,2.71,26.07,70.16,1.0,0.0,0
29.94,0.0,5.39,3.35,18.75,68.93,1.0,0.0,0
30.0,0.0,5.5,3.96,18.55,68.55,1.0,0.0,0
30.11,0.0,5.5,3.85,19.19,68.83,1.0,0.0,0
29.82,0.0,5.5,3.81,19.18,69.75,1.0,0.0,0
29.56,0.0,5.5,4.0,19.55,70.95,1.0,0.0,0
30.07,0.0,5.5,4.4,19.41,69.2,1.0,0.0,0
30.45,0.0,5.5,4.33,25.68,74.21,1.0,0.0,0
0.0,0.0,5.37,4.2,28.94,57.9,0.0,0.0,0
0.0,0.0,5.0,2.52,29.23,55.86,0.0,0.0,0
32.22,0.0,5.06,2.27,26.17,68.67,1.0,0.0,0
30.52,0.0,5.29,2.61,19.67,67.98,1.0,0.0,0
30.07,0.0,5.5,2.91,19.73,69.51,1.0,0.0,0
30.3,0.0,5.5,3.2,19.36,68.38,1.0,0.0,0
30.02,0.0,5.5,3.19,19.62,69.55,1.0,0.0,0
30.64,0.0,5.5,3.45,19.24,67.14,1.0,0.0,0
30.34,0.0,5.5,3.06,19.28,68.19,1.0,0.0,0
31.99,0.0,5.5,3.07,25.87,69.16,1.0,0.0,0
31.73,0.0,5.5,3.09,26.26,70.47,1.0,0.0,0
31.14,0.0,5.5,3.38,26.61,72.86,1.0,0.0,0
29.06,0.0,5.5,4.03,20.33,73.28,1.0,0.0,0
0.0,0.0,5.49,4.74,26.92,60.65,0.0,0.0,0
0.0,0.0,5.24,3.62,27.04,60.52,0.0,0.0,0
0.0,0.0,5.0,2.79,27.0,59.99,0.0,0.0,0
33.12,0.0,5.16,3.23,30.8,70.05,1.0,0.0,0
32.51,0.0,5.46,3.67,30.08,71.54,1.0,0.0,0
31.69,0.0,5.5,4.71,30.94,75.31,1.0,0.0,0
0.0,0.0,5.19,3.38,34.18,55.77,0.0,0.0,0
31.54,0.0,5.09,2.49,22.25,67.11,1.0,0.0,0
31.53,0.0,5.23,2.44,22.59,67.49,1.0,0.0,0
31.59,0.0,5.4,2.53,22.66,67.36,1.0,0.0,0
30.59,0.0,5.5,2.58,22.55,70.62,1.0,0.0,0
31.08,0.0,5.5,3.07,22.19,68.63,1.0,0.0,0
30.08,0.0,5.5,3.02,19.38,69.11,1.0,0.0,0
31.5,0.0,5.5,3.25,26.74,71.74,1.0,0.0,0
31.51,0.0,5.5,3.74,27.28,72.27,1.0,0.0,0
31.38,0.0,5.5,4.23,26.52,71.95,1.0,0.0,0
30.95,0.0,5.5,4.61,25.73,72.62,1.0,0.0,0
0.0,0.0,5.4,4.41,24.89,56.86,0.0,0.0,0
30.63,0.0,4.99,2.49,18.15,66.12,1.0,0.0,0
30.15,0.0,5.05,2.19,17.09,66.62,1.0,0.0,0
30.13,0.0,5.19,2.23,17.25,66.83,1.0,0.0,0
30.71,0.0,5.35,2.34,18.86,66.53,1.0,0.0,0
30.25,0.0,5.44,2.2,19.1,68.3,1.0,0.0,0
29.22,0.0,5.5,2.87,19.66,72.11,1.0,0.0,0
30.19,0.0,5.5,3.71,26.23,75.63,1.0,0.0,0
29.78,0.0,5.5,4.79,27.5,78.19,1.0,0.0,0
0.0,0.0,5.31,4.1,30.27,61.54,0.0,0.0,0
0.0,0.0,5.13,3.53,30.32,59.32,0.0,0.0,0
32.18,0.0,4.84,2.34,26.86,69.52,1.0,0.0,0
30.99,0.0,5.12,2.87,19.87,66.61,1.0,0.0,0
30.98,0.0,5.21,2.6,19.98,66.74,1.0,0.0,0
30.8,0.0,5.32,2.45,19.71,67.1,1.0,0.0,0
30.97,0.0,5.46,2.48,20.0,66.8,1.0,0.0,0
30.33,0.0,5.5,2.43,20.04,68.98,1.0,0.0,0
29.9,0.0,5.5,2.69,20.24,70.56,1.0,0.0,0
29.97,0.0,5.5,3.21,20.09,70.19,1.0,0.0,0
31.17,0.0,5.5,3.71,26.76,72.91,1.0,0.0,0
31.55,0.0,5.5,4.33,26.77,71.6,1.0,0.0,0
31.59,0.0,5.5,4.62,26.87,71.57,1.0,0.0,0
29.31,0.0,5.5,4.74,20.41,72.59,1.0,0.0,0
0.0,0.0,5.19,3.38,28.03,58.84,0.0,0.0,0
31.25,0.0,5.07,2.7,21.1,66.95,1.0,0.0,0
31.41,0.0,5.2,2.58,21.2,66.51,1.0,0.0,0
31.46,0.0,5.27,2.3,21.42,66.56,1.0,0.0,0
31.49,0.0,5.35,2.08,21.6,66.64,1.0,0.0,0
31.24,0.0,5.44,1.95,22.12,68.04,1.0,0.0,0
31.76,0.0,5.5,2.56,30.89,74.98,1.0,0.0,0
31.69,0.0,5.5,3.59,31.73,76.09,1.0,0.0,0
30.5,0.0,5.5,4.59,29.13,77.49,1.0,0.0,0
0.0,0.0,5.3,3.98,32.6,60.83,0.0,0.0,0
0.0,0.0,5.08,3.14,32.74,58.52,0.0,0.0,0
30.54,0.0,5.07,2.81,20.96,69.2,1.0,0.0,0
30.42,0.0,5.36,3.37,20.68,69.31,1.0,0.0,0
29.7,0.0,5.5,4.01,20.15,71.12,1.0,0.0,0
30.14,0.0,5.5,4.42,19.23,68.78,1.0,0.0,0
31.74,0.0,5.5,4.26,26.57,70.76,1.0,0.0,0
31.25,0.0,5.5,4.38,26.25,72.1,1.0,0.0,0
31.35,0.0,5.5,4.76,25.91,71.43,1.0,0.0,0
0.0,0.0,5.15,3.13,29.3,55.97,0.0,0.0,0
30.39,0.0,5.12,2.54,18.62,67.37,1.0,0.0,0
30.2,0.0,5.3,2.7,18.39,67.74,1.0,0.0,0
29.94,0.0,5.5,2.96,18.0,68.21,1.0,0.0,0
29.62,0.0,5.5,3.02,19.67,70.87,1.0,0.0,0
29.67,0.0,5.5,3.56,19.79,70.83,1.0,0.0,0
29.84,0.0,5.5,4.0,19.54,70.05,1.0,0.0,0
31.56,0.0,5.5,4.31,25.79,70.6,1.0,0.0,0
31.08,0.0,5.5,4.42,26.07,72.52,1.0,0.0,0
0.0,0.0,5.45,4.56,29.0,54.6,0.0,0.0,0
30.76,0.0,4.98,2.32,18.96,66.49,1.0,0.0,0
30.44,0.0,5.09,2.2,19.6,68.16,1.0,0.0,0
30.2,0.0,5.34,2.65,19.94,69.28,1.0,0.0,0
28.82,0.0,5.5,3.41,20.37,74.06,1.0,0.0,0
28.22,0.0,5.5,4.42,20.96,76.44,1.0,0.0,0
0.0,0.0,5.35,4.11,31.1,60.91,0.0,0.0,0
0.0,0.0,5.12,3.26,31.27,60.04,0.0,0.0,0
32.63,0.0,4.93,2.58,30.46,71.49,1.0,0.0,0
32.76,0.0,5.31,3.47,30.52,71.09,1.0,0.0,0
31.61,0.0,5.5,4.28,30.71,75.34,1.0,0.0,0
0.0,0.0,5.37,4.19,34.4,57.5,0.0,0.0,0
31.5,0.0,4.98,2.44,22.44,67.52,1.0,0.0,0
31.49,0.0,5.17,2.56,22.77,67.81,1.0,0.0,0
31.55,0.0,5.37,2.73,21.95,66.78,1.0,0.0,0
31.48,0.0,5.44,2.46,21.83,66.9,1.0,0.0,0
31.03,0.0,5.5,2.36,21.98,68.59,1.0,0.0,0
30.41,0.0,5.5,2.46,19.04,67.73,1.0,0.0,0
31.98,0.0,5.5,2.48,26.0,69.35,1.0,0.0,0
32.06,0.0,5.5,2.65,25.66,68.74,1.0,0.0,0
31.87,0.0,5.5,2.67,25.37,69.1,1.0,0.0,0
29.97,0.0,5.5,2.73,17.72,67.81,1.0,0.0,0
30.14,0.0,5.5,2.72,17.69,67.25,1.0,0.0,0
30.14,0.0,5.5,2.58,17.29,66.82,1.0,0.0,0
30.53,0.0,5.5,2.38,18.58,66.85,1.0,0.0,0
30.25,0.0,5.5,2.18,19.02,68.22,1.0,0.0,0
29.93,0.0,5.5,2.35,18.93,69.15,1.0,0.0,0
29.9,0.0,5.5,2.69,19.01,69.33,1.0,0.0,0
28.61,0.0,5.5,3.01,19.67,73.98,1.0,0.0,0
29.83,0.0,5.5,4.13,26.22,76.78,1.0,0.0,0
0.0,0.0,5.39,4.29,30.11,60.28,0.0,0.0,0
0.0,0.0,5.13,3.18,30.83,60.09,0.0,0.0,0
31.54,0.0,5.0,2.7,26.73,71.6,1.0,0.0,0
32.17,0.0,5.39,3.68,26.44,69.12,1.0,0.0,0
29.75,0.0,5.5,4.02,20.06,70.85,1.0,0.0,0
29.93,0.0,5.5,4.38,19.88,70.1,1.0,0.0,0
29.57,0.0,5.5,4.52,20.2,71.57,1.0,0.0,0
0.0,0.0,5.38,4.24,25.85,58.39,0.0,0.0,0
0.0,0.0,5.03,2.66,26.41,57.18,0.0,0.0,0
30.45,0.0,5.21,2.84,20.34,68.88,1.0,0.0,0
32.05,0.0,5.5,3.38,26.46,69.56,1.0,0.0,0
31.34,0.0,5.5,4.04,26.86,72.42,1.0,0.0,0
31.13,0.0,5.5,4.53,27.04,73.32,1.0,0.0,0
0.0,0.0,5.31,3.88,30.4,56.96,0.0,0.0,0
30.78,0.0,5.05,2.54,20.27,67.72,1.0,0.0,0
31.1,0.0,5.26,2.77,20.75,67.12,1.0,0.0,0
31.24,0.0,5.39,2.69,21.02,66.93,1.0,0.0,0
31.24,0.0,5.5,2.53,20.89,66.78,1.0,0.0,0
30.78,0.0,5.5,2.44,20.74,68.18,1.0,0.0,0
31.0,0.0,5.5,2.5,21.49,68.19,1.0,0.0,0
32.27,0.0,5.5,2.54,29.78,72.1,1.0,0.0,0
31.81,0.0,5.5,3.13,31.35,75.28,1.0,0.0,0
30.47,0.0,5.5,4.11,28.77,77.24,1.0,0.0,0
0.0,0.0,5.39,4.3,31.82,60.46,0.0,0.0,0
0.0,0.0,5.14,3.24,28.67,60.15,0.0,0.0,0
30.28,0.0,4.96,2.62,22.85,71.94,1.0,0.0,0
31.02,0.0,5.37,3.77,22.43,69.09,1.0,0.0,0
29.64,0.0,5.5,4.2,22.72,73.88,1.0,0.0,0
0.0,0.0,5.42,4.43,31.64,57.58,0.0,0.0,0
0.0,0.0,5.03,2.65,31.99,57.0,0.0,0.0,0
32.67,0.0,5.26,2.93,28.67,69.56,1.0,0.0,0
31.9,0.0,5.5,3.38,28.9,72.51,1.0,0.0,0
29.44,0.0,5.5,3.83,22.09,73.88,1.0,0.0,0
29.84,0.0,5.5,4.71,21.52,72.02,1.0,0.0,0
0.0,0.0,5.22,3.51,27.81,56.56,0.0,0.0,0
31.5,0.0,4.96,2.19,21.58,66.57,1.0,0.0,0
32.86,0.0,5.07,2.05,28.27,68.45,1.0,0.0,0
33.51,0.0,5.31,2.37,30.45,68.23,1.0,0.0,0
33.39,0.0,5.49,2.46,30.55,68.78,1.0,0.0,0
32.69,0.0,5.5,2.92,29.12,69.92,1.0,0.0,0
30.69,0.0,5.5,2.97,21.82,69.56,1.0,0.0,0
31.38,0.0,5.5,3.21,21.37,66.81,1.0,0.0,1
31.33,0.0,5.5,2.73,20.83,66.42,1.0,0.0,1
31.25,0.0,5.49,2.27,21.36,67.23,1.0,0.0,1
30.26,0.0,5.5,2.47,22.06,71.21,1.0,0.0,1
30.31,0.0,5.5,3.09,22.17,71.18,1.0,0.0,1
30.77,0.0,5.5,3.58,27.12,74.61,1.0,0.0,1
29.96,0.0,5.5,4.5,27.17,77.28,1.0,0.0,1
0.0,0.0,5.34,4.19,30.23,61.1,0.0,0.0,1
0.0,0.0,5.13,3.38,30.28,59.77,0.0,0.0,1
31.67,0.0,4.86,2.38,27.47,71.89,1.0,0.0,1
32.15,0.0,5.26,3.44,26.71,69.46,1.0,0.0,1
30.16,0.0,5.5,3.69,18.35,67.82,1.0,0.0,1
29.57,0.0,5.5,3.9,18.83,70.2,1.0,0.0,1
29.23,0.0,5.5,4.18,18.49,70.9,1.0,0.0,1
29.24,0.0,5.5,4.56,18.27,70.68,1.0,0.0,1
0.0,0.0,5.5,4.85,25.32,57.34,0.0,0.0,1
0.0,0.0,5.1,2.95,25.39,57.08,0.0,0.0,1
30.71,0.0,5.03,2.35,19.33,67.02,1.0,0.0,1
32.03,0.0,5.22,2.47,25.9,69.08,1.0,0.0,1
32.14,0.0,5.48,2.93,25.97,68.75,1.0,0.0,1
31.1,0.0,5.5,3.41,26.42,72.8,1.0,0.0,1
29.13,0.0,5.5,4.07,19.87,72.59,1.0,0.0,1
29.73,0.0,5.5,4.76,19.7,70.56,1.0,0.0,1
0.0,0.0,5.2,3.35,25.52,57.1,0.0,0.0,1
30.94,0.0,5.11,2.62,19.05,65.96,1.0,0.0,1
31.0,0.0,5.08,2.1,19.15,65.86,1.0,0.0,1
30.82,0.0,5.07,1.7,19.17,66.48,1.0,0.0,1
30.81,0.0,5.19,1.73,19.41,66.74,1.0,0.0,1
30.28,0.0,5.33,1.83,19.72,68.8,1.0,0.0,1
31.09,0.0,5.5,2.61,26.54,72.96,1.0,0.0,1
30.04,0.0,5.5,3.4,27.1,76.98,1.0,0.0,1
30.12,0.0,5.5,4.69,27.49,77.1,1.0,0.0,1
0.0,0.0,5.26,3.71,31.05,58.46,0.0,0.0,1
32.8,0.0,5.03,2.6,29.42,69.81,1.0,0.0,1
32.94,0.0,5.33,3.13,30.27,70.16,1.0,0.0,1
30.22,0.0,5.5,3.68,22.51,71.79,1.0,0.0,1
30.5,0.0,5.5,4.21,22.31,70.68,1.0,0.0,1
30.58,0.0,5.5,4.45,22.51,70.64,1.0,0.0,1
30.45,0.0,5.5,4.62,22.57,71.12,1.0,0.0,1
0.0,0.0,5.4,4.31,30.12,56.13,0.0,0.0,1
31.06,0.0,4.96,2.28,22.85,69.36,1.0,0.0,1
32.96,0.0,5.28,2.98,29.34,69.16,1.0,0.0,1
31.59,0.0,5.5,3.27,26.88,71.57,1.0,0.0,1
31.67,0.0,5.5,3.72,27.28,71.71,1.0,0.0,1
29.71,0.0,5.5,4.09,19.77,70.71,1.0,0.0,1
29.55,0.0,5.5,4.41,19.13,70.56,1.0,0.0,1
29.87,0.0,5.5,4.67,18.99,69.42,1.0,0.0,1
29.4,0.0,5.5,4.6,18.26,70.17,1.0,0.0,1
30.04,0.0,5.5,4.75,18.09,67.95,1.0,0.0,1
29.46,0.0,5.5,4.3,17.83,69.54,1.0,0.0,1
29.47,0.0,5.5,4.38,17.34,69.01,1.0,0.0,1
29.14,0.0,5.5,4.35,19.44,72.14,1.0,0.0,1
0.0,0.0,5.5,4.95,29.15,57.84,0.0,0.0,1
0.0,0.0,5.12,3.13,29.41,58.27,0.0,0.0,1
31.49,0.0,5.13,2.84,26.67,71.71,1.0,0.0,1
29.25,0.0,5.5,3.84,27.2,79.57,1.0,0.0,1
0.0,0.0,5.43,4.49,30.52,60.38,0.0,0.0,1
0.0,0.0,5.17,3.35,26.65,59.79,0.0,0.0,1
30.62,0.0,4.89,2.36,20.42,68.41,1.0,0.0,1
30.73,0.0,5.16,2.83,19.83,67.44,1.0,0.0,1
30.81,0.0,5.34,2.9,19.77,67.14,1.0,0.0,1
30.88,0.0,5.47,2.82,19.86,66.99,1.0,0.0,1
30.19,0.0,5.5,2.79,21.24,70.62,1.0,0.0,1
30.53,0.0,5.5,3.31,30.1,78.37,1.0,0.0,1
32.08,0.0,5.5,4.73,29.01,72.0,1.0,0.0,1
0.0,0.0,5.29,3.82,34.43,57.57,0.0,0.0,1
32.97,0.0,5.05,2.59,29.87,69.65,1.0,0.0,1
31.22,0.0,5.3,2.99,22.69,68.66,1.0,0.0,1
30.17,0.0,5.5,3.36,23.11,72.57,1.0,0.0,1
30.0,0.0,5.5,4.06,21.69,71.68,1.0,0.0,1
